index,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Hardness_Value_predicted,Hardness_Value_measured
170,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0.347,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0,1041.57828,1263
118,0,0.342,0,0,0,0,0,0,0.315,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031.82048,709
283,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.34,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025.85002,
141,0,0,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,985.287262,
42,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0.327,0,0,0,0,0,930.648942,1137
114,0,0,0,0,0,0.311,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,893.916628,950
53,0,0,0,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.33,0,0,0,0,0,893.750278,1286
3,0,0,0,0,0,0.086,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0.337,0,0.349,0,0,888.85164,
89,0,0.181,0,0,0,0.051,0,0,0.111,0,0,0,0,0,0.278,0,0,0,0,0,0,0.089,0,0.289,0,0,0,0,0,885.84678,
954,0,0.338,0,0,0,0.344,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,882.048242,
780,0,0.329,0,0,0,0,0.342,0,0,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.48005,
72,0,0,0,0,0,0,0,0,0.213,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.35,0.327,0,0,862.121272,899
9,0,0.339,0,0,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0.232,0,0,0,0.213,0,0,0,0,0,0,0,859.163566,
420,0,0,0,0,0,0,0.342,0,0,0,0,0,0,0.327,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.272702,
461,0,0.333,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324,0,0,0,843.386884,
233,0,0.331,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,0,840.887208,
430,0,0.328,0,0,0,0.347,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0,840.651432,
489,0,0.331,0,0,0,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,839.211112,
435,0,0.329,0,0,0,0.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,837.596436,
95,0,0.075,0,0,0,0,0.079,0,0.05,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.256,0,0.173,0.127,0,0,832.032328,
807,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.34,0.145,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,827.620262,
129,0,0,0,0,0,0.078,0,0,0.17,0,0,0,0,0,0,0.329,0,0,0,0,0,0.08,0,0,0,0,0.343,0,0,826.576528,
149,0,0,0,0,0,0,0.335,0,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,825.359254,
740,0,0.331,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0,0,0,0,818.300002,
10,0,0,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.337,0.347,0,0,815.910816,
641,0,0.339,0,0,0,0.341,0,0,0,0,0,0,0,0.266,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.134492,
557,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.317,0,0,0,804.264798,
969,0,0.336,0,0,0,0.344,0,0,0,0,0,0,0,0.264,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.69322,
213,0,0.176,0,0,0,0.051,0.231,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,799.249524,
130,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.339,0,0,789.41968,